Brand,Model,Year,Fuel,Transmission,Km,Owner,Price,Location,Engine,Seats
Honda,Amaze 1.2 VX i-VTEC,2017,Petrol,Manual,87150,First,505000.0,Pune,1198,5.0
Maruti Suzuki,Swift DZire VDI,2014,Diesel,Manual,75000,Second,450000.0,Ludhiana,1248,5.0
Hyundai,i10 Magna 1.2 Kappa2,2011,Petrol,Manual,67000,First,220000.0,Lucknow,1197,5.0
Toyota,Glanza G,2019,Petrol,Manual,37500,First,799000.0,Mangalore,1197,5.0
Toyota,Innova 2.4 VX 7 STR [2016-2020],2018,Diesel,Manual,69000,First,1950000.0,Mumbai,2393,7.0
Maruti Suzuki,Ciaz ZXi,2017,Petrol,Manual,73315,First,675000.0,Pune,1373,5.0
Mercedes-Benz,CLA 200 Petrol Sport,2015,Petrol,Automatic,47000,Second,1898999.0,Mumbai,1991,5.0
BMW,X1 xDrive20d M Sport,2017,Diesel,Automatic,75000,Second,2650000.0,Coimbatore,1995,5.0
Skoda,Octavia 1.8 TSI Style Plus AT [2017],2017,Petrol,Automatic,56000,First,1390000.0,Mumbai,1798,5.0
Nissan,Terrano XL (D),2015,Diesel,Manual,85000,First,575000.0,Mumbai,1461,5.0
Hyundai,Elite i20 Sportz 1.2,2017,Petrol,Manual,20281,First,591000.0,Mumbai,1197,5.0
Renault,Kwid 1.0 RXT [2016-2019],2018,Petrol,Manual,22541,First,459999.0,Bangalore,999,5.0
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],2019,Petrol,Automatic,30672,First,1075000.0,Bangalore,1462,5.0
Tata,Harrier XZ [2019-2020],2019,Diesel,Manual,20856,First,1695000.0,Bangalore,1956,5.0
Volkswagen,Polo GT TSI,2017,Petrol,Automatic,41417,First,944999.0,Bangalore,1197,5.0
Maruti Suzuki,Celerio ZXi AMT [2019-2020],2016,Petrol,Automatic,11471,First,569000.0,Bangalore,998,5.0
Maruti Suzuki,Alto 800 LXi (O),2019,Petrol,Manual,3583,First,449000.0,Bangalore,796,5.0
Maruti Suzuki,Baleno Alpha Automatic,2018,Petrol,Automatic,21365,First,894999.0,Bangalore,1197,5.0
Maruti Suzuki,Wagon R ZXi 1.2 AMT,2020,Petrol,Automatic,30777,First,699000.0,Bangalore,1197,5.0
Hyundai,Creta 1.6 E Petrol,2016,Petrol,Manual,60125,First,740000.0,Delhi,1591,5.0
Maruti Suzuki,S-Presso VXi AMT,2020,Petrol,Automatic,2169,First,470000.0,Mumbai,998,5.0
Volkswagen,Vento Comfortline Petrol AT,2015,Petrol,Automatic,60240,First,765000.0,Bangalore,1197,5.0
Hyundai,Santro Sportz AMT [2018-2020],2018,Petrol,Automatic,13772,First,589000.0,Bangalore,1086,5.0
Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],2019,Petrol,Manual,27464,First,999000.0,Bangalore,998,5.0
Maruti Suzuki,Alto LXi CNG,2019,CNG,Manual,47377,First,370000.0,Delhi,998,4.0
Maruti Suzuki,Ritz Zxi BS-IV,2013,Petrol,Manual,23086,First,325000.0,Mumbai,1197,5.0
Hyundai,Creta 1.6 SX Plus Petrol,2019,Petrol,Manual,36313,First,1175000.0,Mumbai,1591,5.0
Honda,Brio V MT,2014,Petrol,Manual,39276,First,351000.0,Mumbai,1198,5.0
Hyundai,Elite i20 Asta 1.2,2015,Petrol,Manual,47752,First,551000.0,Mumbai,1197,5.0
Honda,WR-V VX MT Petrol,2018,Petrol,Manual,27963,First,819999.0,Delhi,1199,5.0
Hyundai,Venue SX 1.0 Turbo iMT,2020,Petrol,Manual,24013,First,990000.0,Mumbai,998,5.0
Hyundai,Creta 1.6 SX Plus AT,2016,Diesel,Automatic,66000,First,925000.0,Raipur,1582,5.0
Ford,Ecosport Titanium+ 1.0L EcoBoost,2015,Petrol,Manual,28000,First,535000.0,Mumbai,999,5.0
Hyundai,Santro GL (CNG),2009,CNG,Manual,72000,Second,145000.0,Kanpur,1086,5.0
Tata,Tiago Revotron XE [2016-2019],2018,Petrol,Manual,27069,First,409000.0,Mumbai,1199,5.0
Tata,Tigor Revotorq XT,2018,Diesel,Manual,43000,First,490000.0,Patna,1047,5.0
Toyota,Innova 2.4 G 8 STR [2016-2017],2019,Diesel,Manual,71000,First,1900000.0,Mumbai,2393,8.0
Mercedes-Benz,GLC 220 d Progressive,2017,Diesel,Automatic,45600,Second,3850000.0,Mumbai,2143,5.0
Hyundai,Creta SX 1.6 CRDi (O),2018,Diesel,Manual,60000,First,1125000.0,Patna,1582,5.0
Mercedes-Benz,M-Class ML 250 CDI,2014,Diesel,Automatic,105101,First,2300000.0,Vadodara,2143,5.0
Toyota,Corolla Altis VL AT Petrol,2016,Petrol,Automatic,45000,First,1095000.0,Mumbai,1798,5.0
Audi,A4 2.0 TDI (177bhp) Premium Plus,2013,Diesel,Automatic,66000,First,1575000.0,Hyderabad,1968,5.0
Mercedes-Benz,SLK-Class SLK 200 K,2010,Petrol,Automatic,34105,First,2400000.0,Mumbai,1796,2.0
Hyundai,Elite i20 Asta 1.2,2015,Petrol,Manual,68397,First,525000.0,Patna,1197,5.0
Mahindra,Thar CRDe 4x4 AC,2015,Diesel,Manual,65000,Second,625000.0,Yamunanagar,2498,6.0
Maruti Suzuki,Baleno Delta 1.2,2019,Petrol,Manual,27469,First,605000.0,Delhi,1197,5.0
Maruti Suzuki,Celerio VXi AMT,2016,Petrol,Automatic,41058,First,412000.0,Delhi,998,5.0
Maruti Suzuki,Ciaz VDi SHVS,2016,Diesel,Manual,51330,First,625000.0,Mumbai,1248,5.0
Maruti Suzuki,Ciaz VXi,2015,Petrol,Manual,45969,First,511000.0,Mumbai,1373,5.0
Hyundai,Creta SX Plus 1.6 AT CRDI,2017,Diesel,Automatic,66602,First,1150000.0,Mumbai,1582,5.0
Hyundai,Creta SX Plus 1.6  Petrol,2016,Petrol,Manual,57983,First,885000.0,Mumbai,1591,5.0
Renault,Kwid 1.0 RXT AMT Opt,2019,Petrol,Automatic,11183,First,470000.0,Mumbai,999,5.0
MG,Hector Sharp 2.0 Diesel [2019-2020],2019,Diesel,Manual,46301,First,1611000.0,Mumbai,1956,5.0
Tata,Tiago Revotron XZA [2017-2019],2017,Petrol,Automatic,34867,Second,475000.0,Mumbai,1199,5.0
Toyota,Innova 2.5 GX BS IV 7 STR,2015,Diesel,Manual,43634,First,865000.0,Delhi,2494,7.0
BMW,X3 xDrive 20d Luxury Line [2018-2020],2018,Diesel,Automatic,9512,First,3800000.0,Mumbai,1995,5.0
Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,2020,Diesel,Automatic,11293,First,2475000.0,Mumbai,1956,5.0
Mahindra,Scorpio SLE BS-IV,2014,Diesel,Manual,78000,Second,400000.0,Gurgaon,2179,8.0
Honda,Brio S MT,2016,Petrol,Manual,50374,First,440000.0,Vadodara,1198,5.0
BMW,3-Series 320i Luxury Line,2017,Petrol,Automatic,15900,First,2800000.0,Delhi,1998,5.0
Honda,City V Petrol [2017-2019],2017,Petrol,Manual,64000,First,645000.0,Mumbai,1497,5.0
Volkswagen,Polo Highline1.2L (D),2013,Diesel,Manual,78000,First,365000.0,Jaipur,1199,5.0
Maruti Suzuki,Vitara Brezza ZXi Plus,2021,Petrol,Manual,24000,First,1044999.0,Mumbai,1462,5.0
Maruti Suzuki,Eeco 7 STR [2019-2020],2019,Petrol,Manual,40310,Second,515000.0,Pune,1196,7.0
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],2015,Petrol,Automatic,69700,First,455000.0,Mumbai,1197,5.0
BMW,X3 xDrive20d,2012,Diesel,Automatic,74073,First,1800000.0,Hyderabad,1995,5.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2019,Diesel,Automatic,73000,First,3499000.0,Mumbai,2755,7.0
Honda,Civic 1.8S MT,2006,Petrol,Manual,130000,Third,190000.0,Deoghar,1799,5.0
Maruti Suzuki,Swift ZXi Plus AMT,2021,Petrol,Automatic,24000,First,775000.0,Agra,1197,5.0
Hyundai,Elite i20 Sportz 1.5 MT Diesel,2021,Diesel,Manual,43000,First,825000.0,Agra,1493,5.0
Audi,A3 35 TDI Technology + Sunroof,2016,Diesel,Automatic,40500,First,2250000.0,Goa,1968,5.0
Honda,City V CVT Petrol [2017-2019],2017,Petrol,Automatic,49013,First,865000.0,Mumbai,1497,5.0
Ford,Figo Duratorq Diesel Titanium 1.4,2013,Diesel,Manual,64983,First,299000.0,Mumbai,1399,5.0
Honda,Jazz VX Petrol,2017,Petrol,Manual,92270,First,570000.0,Mumbai,1199,5.0
Volkswagen,Polo Highline1.2L (P),2013,Petrol,Manual,65000,First,385000.0,Mumbai,1198,5.0
Honda,Amaze 1.5 SX i-DTEC,2014,Diesel,Manual,110000,First,350000.0,Warangal,1498,5.0
Toyota,Camry 2.5L AT,2017,Petrol,Automatic,47000,First,2345000.0,Delhi,2494,5.0
Mahindra,Thar LX 4-STR Hard Top Petrol AT,2022,Petrol,Automatic,10000,First,1650000.0,Jalandhar,1997,4.0
Mercedes-Benz,C-Class 250 CDI Elegance,2011,Diesel,Automatic,51500,Second,1100000.0,Hyderabad,2143,5.0
Audi,Q3 35 TDI quattro Premium Plus,2018,Diesel,Automatic,35000,First,2900000.0,Pune,1968,5.0
Maruti Suzuki,Baleno Sigma 1.2,2017,Petrol,Manual,61518,First,545000.0,Noida,1197,5.0
BMW,X1 sDrive20d xLine,2018,Diesel,Automatic,34000,First,2990000.0,Delhi,1995,5.0
Maruti Suzuki,Baleno Zeta 1.2,2017,Petrol,Manual,36058,First,615000.0,Mumbai,1197,5.0
Hyundai,Creta 1.6 SX Plus AT,2016,Diesel,Automatic,88000,First,890000.0,Ahmedabad,1582,5.0
Volkswagen,Vento Comfortline Petrol,2015,Petrol,Manual,98112,First,430000.0,Mumbai,1598,5.0
Mercedes-Benz,C-Class 220 BlueEfficiency,2013,Diesel,Automatic,58000,First,1650000.0,Bangalore,2143,5.0
Toyota,Camry Hybrid,2015,Petrol,Automatic,92355,First,1599000.0,Mumbai,2494,5.0
Maruti Suzuki,DZire VXi,2019,Petrol,Manual,16652,First,691000.0,Ahmedabad,1197,5.0
Nissan,Terrano XV D THP 110 PS,2016,Diesel,Manual,76584,First,650000.0,Mumbai,1461,5.0
Maruti Suzuki,Wagon R LXI CNG,2015,CNG,Manual,42500,First,415000.0,Mumbai,998,5.0
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],2016,Diesel,Manual,70000,First,669000.0,Mohali,1248,5.0
BMW,X5 xDrive30d Pure Experience (5 Seater),2015,Diesel,Automatic,84700,Second,2950000.0,Navi Mumbai,2993,5.0
Porsche,Cayenne Coupe Platinum Edition,2022,Petrol,Automatic,2766,First,16200000.0,Mumbai,2995,4.0
Mercedes-Benz,C-Class Cabriolet C 300,2017,Petrol,Automatic,56000,Second,5100000.0,Ghaziabad,1991,4.0
Hyundai,Elite i20 Magna 1.2,2015,Petrol,Manual,68766,First,525000.0,Mumbai,1197,5.0
Hyundai,Verna 1.6 VTVT SX,2018,Petrol,Manual,16339,First,750000.0,Kolkata,1591,5.0
Honda,Amaze 1.2 SX i-VTEC,2016,Petrol,Manual,63882,First,445000.0,Mumbai,1198,5.0
Toyota,Corolla Altis 1.8 G,2012,Petrol,Manual,28732,First,493000.0,Zirakpur,1798,5.0
Hyundai,Elite i20 Sportz 1.2 (O),2017,Petrol,Manual,51349,First,611000.0,Nagpur,1197,5.0
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],2014,Petrol,Automatic,61866,First,475000.0,Thane,1197,5.0
Hyundai,Creta SX Plus 1.6  Petrol,2017,Petrol,Manual,29401,First,925000.0,Mumbai,1591,5.0
Audi,A6 2.0 TDI Premium,2012,Diesel,Automatic,98580,First,1325000.0,Goa,1968,5.0
BMW,X1 sDrive20d xLine,2021,Diesel,Automatic,8000,First,3900000.0,Delhi,1995,5.0
Mahindra,XUV300 W8 (O) 1.5 Diesel,2020,Diesel,Manual,31348,First,1299000.0,Bangalore,1497,5.0
Maruti Suzuki,Swift ZDi Plus,2018,Diesel,Manual,28851,First,580000.0,Kolkata,1248,5.0
Mahindra,Thar LX 4-STR Hard Top Petrol MT,2021,Petrol,Manual,8519,First,1575000.0,Mumbai,1997,4.0
Honda,City 1.5 S MT,2011,Petrol,Manual,78000,First,375000.0,Pune,1497,5.0
Mercedes-Benz,E-Class E 250 CDI Avantgarde,2015,Diesel,Automatic,48000,First,2250000.0,Mumbai,2143,5.0
Toyota,Fortuner 3.0 4x2 AT,2014,Diesel,Automatic,143000,Second,1400000.0,Faridabad,2982,7.0
Tata,Zest XM 75 PS Diesel,2017,Diesel,Manual,39000,First,425000.0,Ranchi,1248,5.0
Skoda,Rapid Ambition 1.6 MPI AT Plus,2014,Petrol,Automatic,24000,Second,425000.0,Mumbai,1598,5.0
Maruti Suzuki,Alto 800 Lxi,2015,Petrol,Manual,62000,Second,250000.0,Kanpur,796,5.0
Maruti Suzuki,Ertiga VDi,2012,Diesel,Manual,78000,Second,425000.0,Jalandhar,1248,7.0
Hyundai,Santro GL LPG,2009,LPG,Manual,48500,Fourth,120000.0,Lucknow,1086,5.0
Ford,Figo Duratorq Diesel ZXI 1.4,2014,Diesel,Manual,82000,Second,235000.0,Ludhiana,1399,5.0
Audi,A3 35 TDI Technology + Sunroof,2020,Diesel,Automatic,40910,First,3050000.0,Bangalore,1968,5.0
Tata,Harrier XZ Plus,2020,Diesel,Manual,10290,First,2145000.0,Bangalore,1956,5.0
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,2021,Petrol,Automatic,10530,First,1245000.0,Bangalore,998,5.0
Hyundai,Elite i20 Asta 1.2,2015,Petrol,Manual,61900,First,549000.0,Gurgaon,1197,5.0
Volkswagen,Polo Highline1.2L (D),2013,Diesel,Manual,78000,Second,484999.0,Bangalore,1199,5.0
Maruti Suzuki,Swift DZire VXI,2014,Petrol,Manual,57402,First,415000.0,Delhi,1197,5.0
Hyundai,Santro GL (CNG),2013,CNG,Manual,57000,First,200000.0,Kanpur,1086,5.0
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],2015,Petrol,Manual,87500,First,375000.0,Gurgaon,1197,5.0
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],2022,Petrol,Automatic,18000,First,1875000.0,Delhi,1353,5.0
Audi,Q2 Premium Plus I 40 TFSI quattro,2020,Petrol,Automatic,10700,First,2950000.0,Ahmedabad,1984,5.0
Audi,Q7 45 TDI Premium Plus,2018,Diesel,Automatic,78000,First,4900000.0,Chandigarh,2967,7.0
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,2020,Petrol,Automatic,16282,First,1050000.0,Pune,998,5.0
Hyundai,Verna Fluidic 1.6 CRDi SX,2013,Diesel,Manual,66000,Third,470000.0,Amritsar,1582,5.0
Maruti Suzuki,Wagon R VXI,2017,Petrol,Manual,72019,Second,345000.0,Ranchi,998,5.0
BMW,5-Series 520d Sedan,2013,Diesel,Automatic,195000,First,1490000.0,Hyderabad,1995,5.0
Mahindra,Scorpio 2.6 Turbo 7 Str,2007,Diesel,Manual,92170,Second,550000.0,Ranchi,2609,7.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2018,Petrol,Manual,55221,First,484999.0,Mumbai,1197,5.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2018,Diesel,Automatic,25000,First,3350000.0,Noida,2755,7.0
Audi,Q5 45 TFSI Premium Plus,2022,Petrol,Automatic,1,UnRegistered Car,5651000.0,Delhi,1984,5.0
Renault,Duster RXS 1.5 Petrol MT,2020,Petrol,Manual,23500,First,890000.0,Chennai,1498,5.0
Maruti Suzuki,Swift DZire VXI,2012,Petrol,Manual,68000,Second,325000.0,Kanpur,1197,5.0
Hyundai,Creta SX 1.6 AT Petrol,2019,Petrol,Automatic,29096,First,1390000.0,Mumbai,1591,5.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2016,Petrol,Manual,61223,First,459999.0,Kanpur,1197,5.0
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],2017,Diesel,Manual,86000,First,1075000.0,Ludhiana,1956,5.0
Hyundai,Verna EX 1.6 CRDi [2017-2018],2013,Diesel,Manual,87000,First,484999.0,Ludhiana,1582,5.0
Hyundai,i20 Magna 1.2,2013,Petrol,Manual,79287,First,385000.0,Kanpur,1197,5.0
Audi,A6 35 TDI Matrix,2018,Diesel,Automatic,48945,First,3900000.0,Goa,1968,5.0
Mahindra,Marazzo M2 8 STR,2019,Diesel,Manual,17000,First,1050000.0,Lucknow,1497,8.0
Kia,Seltos HTX Plus 1.5 Diesel [2020-2021],2019,Diesel,Manual,55000,First,1575000.0,Lucknow,1493,5.0
Maruti Suzuki,Baleno Alpha 1.2,2016,Petrol,Manual,38779,First,655000.0,Mumbai,1197,5.0
Mercedes-Benz,E-Class E 220d Expression [2019-2019],2019,Diesel,Automatic,72000,First,4500000.0,Pune,1950,5.0
Maruti Suzuki,Ertiga ZDI + SHVS,2016,Diesel,Manual,67000,First,865000.0,Navi Mumbai,1248,7.0
Hyundai,Verna Fluidic 1.6 VTVT SX,2017,Petrol,Manual,67000,First,699000.0,Navi Mumbai,1591,5.0
Hyundai,Verna Fluidic 1.6 CRDi SX,2012,Diesel,Manual,70000,Second,425000.0,Jalandhar,1582,5.0
Land Rover,Discovery Sport S,2020,Diesel,Automatic,6000,First,6500000.0,Hyderabad,1999,7.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2017,Diesel,Automatic,46000,First,2900000.0,Delhi,2755,7.0
Mercedes-Benz,GLE 250 d,2017,Diesel,Automatic,34000,First,4550000.0,Navi Mumbai,2143,5.0
Hyundai,Xcent S 1.2 (O),2015,Petrol,Manual,23103,First,490000.0,Udupi,1197,5.0
Mercedes-Benz,S-Class Maybach S 500,2016,Petrol,Automatic,27000,First,11500000.0,Delhi,4663,4.0
Hyundai,Creta SX 1.6 AT Petrol,2019,Petrol,Automatic,9576,First,1475000.0,Bangalore,1591,5.0
MG,Hector Sharp 1.5 DCT Petrol [2019-2020],2020,Petrol,Automatic,27000,First,1729000.0,Panvel,1451,5.0
MG,Astor Sharp 1.5 CVT,2021,Petrol,Automatic,1942,First,1764999.0,Bangalore,1498,5.0
Honda,CR-V 2.4 AT,2006,Petrol,Automatic,119300,Third,250000.0,Pune,2354,5.0
Maruti Suzuki,Alto 800 Lxi,2016,Petrol,Manual,55000,First,245000.0,Faridabad,796,5.0
Renault,Duster 85 PS RxL,2015,Diesel,Manual,98000,Second,490000.0,Jamshedpur,1461,5.0
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2017,Petrol,Manual,61400,First,550000.0,Aurangabad,1197,5.0
Honda,City V,2016,Petrol,Manual,87693,First,675000.0,Pune,1497,5.0
Mercedes-Benz,C-Class C 200 Avantgarde,2015,Petrol,Automatic,31000,First,2225000.0,Mumbai,1991,5.0
Hyundai,Elite i20 Asta 1.4 (O) CRDi,2016,Diesel,Manual,75210,First,560000.0,Ahmedabad,1396,5.0
Skoda,Fabia Elegance 1.6 MPI,2012,Petrol,Manual,69000,First,225000.0,Mumbai,1598,5.0
Skoda,Rapid 1.5 TDI CR Ambition Plus AT,2014,Diesel,Automatic,88000,Second,499000.0,Pune,1498,5.0
Kia,Sonet GTX Plus 1.0 DCT [2020-2021],2020,Petrol,Automatic,15000,First,1055000.0,Kolkata,998,5.0
Mahindra,XUV500 W11 AT,2020,Diesel,Automatic,45350,First,2048999.0,Bangalore,2179,7.0
BMW,3-Series 320d Luxury Line,2018,Diesel,Automatic,68189,First,2775000.0,Jaipur,1995,5.0
Mercedes-Benz,GLA 200 CDI Sport,2015,Diesel,Automatic,75000,First,1650000.0,Faridabad,2143,5.0
Maruti Suzuki,Wagon R VXi,2013,Petrol,Manual,45000,First,350000.0,Pune,998,5.0
Audi,A6 35 TDI Premium,2014,Diesel,Automatic,33000,Second,1450000.0,Faridabad,1968,5.0
Mahindra,Scorpio VLX 2WD BS-IV,2014,Diesel,Manual,83000,Second,600000.0,Rudrapur,2179,8.0
BMW,5-Series 520d Sedan,2012,Diesel,Automatic,78000,First,1250000.0,Mohali,1995,5.0
Toyota,Fortuner 3.0 4x4 MT,2014,Diesel,Manual,211000,First,1675000.0,Jaipur,2982,7.0
Hyundai,Elite i20 Magna 1.2,2015,Petrol,Manual,67000,First,575000.0,Hyderabad,1197,5.0
Ford,Ecosport Titanium+ 1.5L TDCi,2017,Diesel,Manual,75000,First,699000.0,Mumbai,1498,5.0
Audi,Q7 3.0 TDI quattro Premium Plus,2014,Diesel,Automatic,48600,Second,2450000.0,Nashik,2967,6.0
Mercedes-Benz,C-Class C 250 d,2016,Diesel,Automatic,48000,First,2775000.0,Delhi,2143,5.0
Maruti Suzuki,S-Presso VXi,2020,Petrol,Manual,5790,First,430000.0,Hyderabad,998,5.0
Mahindra,Scorpio S5 2WD 7 STR,2018,Diesel,Manual,32000,First,1165000.0,Patna,2179,7.0
MG,Hector Sharp 2.0 Diesel Turbo MT,2020,Diesel,Manual,65433,First,1780000.0,Lucknow,1956,5.0
Maruti Suzuki,Swift VDi BS-IV,2011,Diesel,Manual,87230,First,295000.0,Hyderabad,1248,5.0
Maruti Suzuki,Swift ZDi,2017,Diesel,Manual,38258,Second,495000.0,Varanasi,1248,5.0
Honda,City VX (O) MT,2019,Petrol,Manual,56881,First,975000.0,Lucknow,1497,5.0
Toyota,Innova 2.5 G4 7 STR,2013,Diesel,Manual,76000,Second,645000.0,Kanpur,2494,7.0
Renault,Duster 110 PS RxL Diesel,2014,Diesel,Manual,72000,Second,425000.0,Ludhiana,1461,5.0
Audi,Q3 2.0 TDI quattro Premium,2012,Diesel,Automatic,72000,UnRegistered Car,1350000.0,Hyderabad,1968,5.0
Mercedes-Benz,M-Class 350 CDI,2014,Diesel,Automatic,60514,First,3200000.0,Pune,2987,5.0
Volvo,V40 Cross Country D3,2013,Diesel,Automatic,71141,First,1250000.0,Navi Mumbai,1984,5.0
BMW,5-Series 530d M Sport [2013-2017],2018,Diesel,Automatic,40937,First,5600000.0,Chennai,2993,5.0
Maruti Suzuki,Swift DZire VDI,2013,Diesel,Manual,37000,First,560000.0,Salem,1248,5.0
Mahindra,Scorpio S5 2WD 7 STR,2019,Diesel,Manual,46000,First,1221000.0,Patna,2179,7.0
BMW,X5 xDrive 30d M Sport,2015,Diesel,Automatic,86999,First,2975000.0,Mohali,2993,5.0
